folioStart,folioEnd,proposition,label
5v,7r,1.definitions,
7r,7v,1.postulates,
7v,7v,1.commonNotions,
7v,8r,1.propositions.1,1
8r,8v,1.propositions.2,2
8v,9r,1.propositions.3,3
9r,10r,1.propositions.4,4
10r,11r,1.propositions.5,5
11r,11r,1.propositions.6,6
11r,11v,1.propositions.7,7
11v,12r,1.propositions.8,8
12v,12v,1.propositions.9,9
12v,13r,1.propositions.10,10
13r,13v,1.propositions.11,11
13v,14r,1.propositions.12,12
14r,14v,1.propositions.13,13
14v,15r,1.propositions.14,14
15r,15v,1.propositions.15,15
15v,16r,1.propositions.16,16
16r,16r,1.propositions.17,17
16r,16v,1.propositions.18,18
16v,17r,1.propositions.19,19
17r,17r,1.propositions.20,20
17r,18r,1.propositions.21,21
18r,18v,1.propositions.22,22
18v,19r,1.propositions.23,23
19r,19v,1.propositions.24,24
19v,20r,1.propositions.25,25
20r,21r,1.propositions.26,26
21r,21v,1.propositions.27,27
21v,22r,1.propositions.28,28
22r,23r,1.propositions.29,29
23r,23r,1.propositions.30,30
23r,23v,1.propositions.31,31
23v,24r,1.propositions.32,32
24r,24v,1.propositions.33,33
24v,25r,1.propositions.34,34
25r,25v,1.propositions.35,35
25v,26r,1.propositions.36,36
26r,26v,1.propositions.37,37
26v,27r,1.propositions.38,38
27r,27r,1.propositions.39,39
27r,27v,1.propositions.40,40
27v,28r,1.propositions.41,41
28r,28v,1.propositions.42,42
28v,29r,1.propositions.43,43
29r,29v,1.propositions.44,44
29v,30v,1.propositions.45,45
30v,31r,1.propositions.46,46
31r,31v,1.propositions.47,47
31v,32r,1.propositions.48,48
32v,32v,2.definitions,
32v,33r,2.propositions.1,1
33r,33v,2.propositions.2,2
33v,34r,2.propositions.3,3
34r,35r,2.propositions.4,4
35r,36r,2.propositions.5,5
36r,36v,2.propositions.6,6
36v,37r,2.propositions.7,7
37v,38v,2.propositions.8,8
38v,39v,2.propositions.9,9
39v,40v,2.propositions.10,10
40v,41r,2.propositions.11,11
41v,42r,2.propositions.12,12
42r,42v,2.propositions.13,13
42v,43r,2.propositions.14,14
43v,43v,3.definitions,
43v,44r,3.propositions.1,1
44r,44v,3.propositions.2,2
44v,45r,3.propositions.3,3
45v,45v,3.propositions.4,4
45v,46r,3.propositions.5,5
46r,46r,3.propositions.6,6
46r,47r,3.propositions.7,7
47r,48v,3.propositions.8,8
48v,49r,3.propositions.9,9
49r,50r,3.propositions.10,10
50r,50v,3.propositions.11,11
50v,51r,3.propositions.12,12
51r,51v,3.propositions.13,13
51v,52r,3.propositions.14,14
52r,52v,3.propositions.15,15
52v,53v,3.propositions.16,16
53v,54r,3.propositions.17,17
54r,54v,3.propositions.18,18
54v,55r,3.propositions.19,19
55r,55r,3.propositions.20,20
55r,55v,3.propositions.21,21
55v,56r,3.propositions.22,22
56r,56r,3.propositions.23,23
56r,56v,3.propositions.24,24
56v,57r,3.propositions.25,25
57r,57v,3.propositions.26,26
57v,58r,3.propositions.27,27
58v,58v,3.propositions.28,28
58v,59r,3.propositions.29,29
59r,59v,3.propositions.30,39
59v,60v,3.propositions.31,31
60v,61r,3.propositions.32,32
61r,62v,3.propositions.33,33
62v,62v,3.propositions.34,34
63r,63v,3.propositions.35,35
63v,64v,3.propositions.36,36
64v,65r,3.propositions.37,37
65v,65v,4.definitions,
65v,66r,4.propositions.1,1
66r,66v,4.propositions.2,2
66v,67r,4.propositions.3,3
67r,67v,4.propositions.4,4
67v,68v,4.propositions.5,5
68v,69r,4.propositions.6,6
69r,69v,4.propositions.7,7
69v,70r,4.propositions.8,8
70r,70v,4.propositions.9,9
70v,71r,4.propositions.10,20
71r,72r,4.propositions.11,11
72r,73r,4.propositions.12,12
73r,73v,4.propositions.13,13
74r,74r,4.propositions.14,14
74r,75r,4.propositions.15,15
75v,75v,4.propositions.16,16
76r,76v,5.definitions,
76v,77r,5.propositions.1,1
77r,77v,5.propositions.2,2
