Scholia Number,image urn
1,"urn:cite:episteme:dorv301img.euc010@0.8467,0.1531,0.0661,0.0359"
2,"urn:cite:episteme:dorv301img.euc010@0.8467,0.1953,0.0661,0.0359"
3,"urn:cite:episteme:dorv301img.euc010@0.8537,0.2453,0.0421,0.0359"
4,"urn:cite:episteme:dorv301img.euc010@0.8557,0.3094,0.0471,0.0391"
5,"urn:cite:episteme:dorv301img.euc010@0.8427,0.3688,0.0541,0.0594"
6,"urn:cite:episteme:dorv301img.euc010@0.8397,0.4391,0.0481,0.0453"
7,"urn:cite:episteme:dorv301img.euc010@0.8357,0.4844,0.0591,0.0359"
8,"urn:cite:episteme:dorv301img.euc010@0.8397,0.5813,0.0601,0.1063"
9,"urn:cite:episteme:dorv301img.euc010@0.8297,0.6906,0.0551,0.0609"
10,"urn:cite:episteme:dorv301img.euc010@0.7525,0.7625,0.1082,0.1781"
11,"urn:cite:episteme:dorv301img.euc010@0.6834,0.8047,0.0701,0.1141"
