Page,Sequence,DefaultImage,RorV,Label
,6,urn:cite:bsb:muncg427img.MunCG427_img6,,
,7,urn:cite:bsb:muncg427img.MunCG427_img7,,
,8,urn:cite:bsb:muncg427img.MunCG427_img8,,
,9,urn:cite:bsb:muncg427img.MunCG427_img9,,
urn:cite:bsb:cg427.3r,10,urn:cite:bsb:muncg427img.MunCG427_img10,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 3, recto"
urn:cite:bsb:cg427.3v,11,urn:cite:bsb:muncg427img.MunCG427_img11,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 3, verso"
urn:cite:bsb:cg427.4r,12,urn:cite:bsb:muncg427img.MunCG427_img12,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 4, recto"
urn:cite:bsb:cg427.4v,13,urn:cite:bsb:muncg427img.MunCG427_img13,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 4, verso"
urn:cite:bsb:cg427.5r,14,urn:cite:bsb:muncg427img.MunCG427_img14,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 5, recto"
urn:cite:bsb:cg427.5v,15,urn:cite:bsb:muncg427img.MunCG427_img15,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 5, verso"
urn:cite:bsb:cg427.6r,16,urn:cite:bsb:muncg427img.MunCG427_img16,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 6, recto"
urn:cite:bsb:cg427.6v,17,urn:cite:bsb:muncg427img.MunCG427_img17,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 6, verso"
urn:cite:bsb:cg427.7r,18,urn:cite:bsb:muncg427img.MunCG427_img18,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 7, recto"
urn:cite:bsb:cg427.7v,19,urn:cite:bsb:muncg427img.MunCG427_img19,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 7, verso"
urn:cite:bsb:cg427.8r,20,urn:cite:bsb:muncg427img.MunCG427_img20,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 8, recto"
urn:cite:bsb:cg427.8v,21,urn:cite:bsb:muncg427img.MunCG427_img21,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 8, verso"
urn:cite:bsb:cg427.9r,22,urn:cite:bsb:muncg427img.MunCG427_img22,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 9, recto"
urn:cite:bsb:cg427.9v,23,urn:cite:bsb:muncg427img.MunCG427_img23,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 9, verso"
,,urn:cite:bsb:muncg427img.MunCG427_img24,,
,,urn:cite:bsb:muncg427img.MunCG427_img25,,
urn:cite:bsb:cg427.10r,26,urn:cite:bsb:muncg427img.MunCG427_img26,Recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 10,recto"
urn:cite:bsb:cg427.10v,27,urn:cite:bsb:muncg427img.MunCG427_img27,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 10,verso"
urn:cite:bsb:cg427.11r,28,urn:cite:bsb:muncg427img.MunCG427_img28,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 11,recto"
urn:cite:bsb:cg427.11v,29,urn:cite:bsb:muncg427img.MunCG427_img29,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 11,verso"
urn:cite:bsb:cg427.12r,30,urn:cite:bsb:muncg427img.MunCG427_img30,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 12,recto"
urn:cite:bsb:cg427.12v,31,urn:cite:bsb:muncg427img.MunCG427_img31,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 12,verso"
urn:cite:bsb:cg427.13r,32,urn:cite:bsb:muncg427img.MunCG427_img32,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 13,recto"
urn:cite:bsb:cg427.13v,33,urn:cite:bsb:muncg427img.MunCG427_img33,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 13,verso"
urn:cite:bsb:cg427.14r,34,urn:cite:bsb:muncg427img.MunCG427_img34,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 14,recto"
urn:cite:bsb:cg427.14v,35,urn:cite:bsb:muncg427img.MunCG427_img35,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 14,verso"
urn:cite:bsb:cg427.15r,36,urn:cite:bsb:muncg427img.MunCG427_img36,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 15,recto"
urn:cite:bsb:cg427.15v,37,urn:cite:bsb:muncg427img.MunCG427_img37,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 15,verso"
urn:cite:bsb:cg427.16r,38,urn:cite:bsb:muncg427img.MunCG427_img38,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 16,recto"
urn:cite:bsb:cg427.16v,39,urn:cite:bsb:muncg427img.MunCG427_img39,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 16,verso"
urn:cite:bsb:cg427.17r,40,urn:cite:bsb:muncg427img.MunCG427_img40,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 17,recto"
urn:cite:bsb:cg427.17v,41,urn:cite:bsb:muncg427img.MunCG427_img41,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 17,verso"
urn:cite:bsb:cg427.18r,42,urn:cite:bsb:muncg427img.MunCG427_img42,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 18,recto"
,,urn:cite:bsb:muncg427img.MunCG427_img43,,
,,urn:cite:bsb:muncg427img.MunCG427_img44,,
,,urn:cite:bsb:muncg427img.MunCG427_img45,,
,,urn:cite:bsb:muncg427img.MunCG427_img46,,
,,urn:cite:bsb:muncg427img.MunCG427_img47,,
urn:cite:bsb:cg427.21r,48,urn:cite:bsb:muncg427img.MunCG427_img48,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 21,recto"
urn:cite:bsb:cg427.21v,49,urn:cite:bsb:muncg427img.MunCG427_img49,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 21,verso"
urn:cite:bsb:cg427.22r,50,urn:cite:bsb:muncg427img.MunCG427_img50,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 22,recto"
urn:cite:bsb:cg427.22v,51,urn:cite:bsb:muncg427img.MunCG427_img51,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 22,verso"
